x1,x2,class,DT_d2,DT_d3,DT_d4,DT_d5
215.9429529274645,85.03811054533709,Underweight,Underweight,Normal,Normal,Underweight
-7.905087446491173,303.57915433691517,Error,Error,Error,Error,Error
115.53365048003936,438.8889429925391,Severely obese,Severely obese,Severely obese,Severely obese,Severely obese
52.94645546301217,23.688347515854808,Severely obese,Severely obese,Severely obese,Severely obese,Severely obese
162.98074420004164,91.1193791252476,Severely obese,Severely obese,Severely obese,Severely obese,Severely obese
98.9532792303692,79.37288793781399,Severely obese,Severely obese,Severely obese,Severely obese,Severely obese
77.08287797148326,454.53880247502923,Severely obese,Severely obese,Severely obese,Severely obese,Severely obese
85.18104115660884,404.3454771596746,Severely obese,Severely obese,Severely obese,Severely obese,Severely obese
203.55946390377275,35.68095260702751,Underweight,Underweight,Underweight,Underweight,Underweight
194.17292768669927,146.62078711797412,Severely obese,Severely obese,Severely obese,Severely obese,Severely obese
1.073617478756546,-1.8011929839227925,Error,Severely obese,Underweight,Error,Error
151.18740531274915,184.03898378588156,Severely obese,Severely obese,Severely obese,Severely obese,Severely obese
189.67192352721275,437.5818321953711,Severely obese,Severely obese,Severely obese,Severely obese,Severely obese
197.0440441395975,327.82695928275666,Severely obese,Severely obese,Severely obese,Severely obese,Severely obese
203.948785558992,310.3240999670877,Severely obese,Severely obese,Severely obese,Severely obese,Severely obese
119.32067010836465,144.2676443285791,Severely obese,Severely obese,Severely obese,Severely obese,Severely obese
108.503182870494,134.88329111133845,Severely obese,Severely obese,Severely obese,Severely obese,Severely obese
157.3314822755939,435.5399346218479,Severely obese,Severely obese,Severely obese,Severely obese,Severely obese
3.737035560905401,433.80242899693394,Severely obese,Severely obese,Severely obese,Severely obese,Severely obese
180.04282321920257,356.5872548774688,Severely obese,Severely obese,Severely obese,Severely obese,Severely obese
-8.449067455287812,45.242820776498576,Error,Severely obese,Severely obese,Error,Error
114.11997352428205,165.8411741174961,Severely obese,Severely obese,Severely obese,Severely obese,Severely obese
