bc_id,output,distance
1,<=50K,198.54167464858105
2,<=50K,20415.518849526175
3,<=50K,9960.561210004616
4,<=50K,1670.2227437036631
5,<=50K,12803.770428274529
6,<=50K,2688.0834028252884
7,<=50K,85.27003593940205
8,<=50K,56124.657502374524
9,<=50K,59586.47767135034
10,<=50K,7519.275730428429
1,>50K,768.630679974227
2,>50K,88491.31042807437
3,>50K,382993.42809744383
4,>50K,5522.390808821574
5,>50K,55104.82650150083
6,>50K,4005.411132520561
7,>50K,85.26319211800065
8,>50K,15086.886221857776
9,>50K,209080.67715727226
10,>50K,10091.023423042894
