bc_id,output,distance
1,<=50K,61.2495061789289
2,<=50K,374.19747090469684
3,<=50K,1031.6405382471585
4,<=50K,610.3475324071097
5,<=50K,221.06100878108296
6,<=50K,8452.12320577476
7,<=50K,1072.1235829363527
8,<=50K,998.6600959066608
9,<=50K,617.6532045386502
10,<=50K,396.9851944276456
11,<=50K,715.3208730269488
12,<=50K,5950.942373487284
13,<=50K,895.8469484164534
14,<=50K,646.037617257022
15,<=50K,84.00330569433658
16,<=50K,189.02276404979983
17,<=50K,800.9326405384104
18,<=50K,429.0150832759523
19,<=50K,1728.931384160321
20,<=50K,173.60443383936573
1,>50K,63.721456477671175
2,>50K,375.29893781170836
3,>50K,1039.3095258012402
4,>50K,610.3876380093736
5,>50K,213.6373237281301
6,>50K,6052.907981518907
7,>50K,1429.1804132389375
8,>50K,1486.4247688831742
9,>50K,625.1231409386478
10,>50K,2037.090017473324
11,>50K,722.8267546513418
12,>50K,7843.084200835734
13,>50K,1350.1165338724795
14,>50K,437.8338565318768
15,>50K,341.3266650765677
16,>50K,190.14389330923004
17,>50K,801.3077693448031
18,>50K,428.3059613208502
19,>50K,2148.0351084696417
20,>50K,173.60121234817942
