bc_id,output,distance,buyingprice,maintenancecost,doors,capacity,luggageboot,safety
1,acc,1.0,1,3,3,3,2,1
2,acc,1.0,1,0,0,3,2,1
3,acc,1.0,3,1,0,2,0,2
4,acc,1.0,3,0,2,2,2,1
5,acc,1.0,0,3,3,2,0,2
6,acc,1.0,0,3,0,3,1,1
7,acc,1.0,3,1,3,3,0,2
8,acc,1.0,0,1,3,3,0,1
1,unacc,1.0,1,3,3,3,2,0
2,unacc,1.0,1,0,0,3,2,0
3,unacc,1.0,3,1,0,1,0,2
4,unacc,1.0,3,0,2,2,2,0
5,unacc,1.0,0,3,3,1,0,2
6,unacc,1.0,0,3,0,3,1,0
7,unacc,1.0,3,2,3,3,0,2
8,unacc,1.0,0,1,3,3,0,0
9,good,1.0,0,0,1,2,0,2
9,unacc,1.0,0,0,1,1,0,2
10,unacc,1.0,0,0,3,1,2,2
10,vgood,1.0,0,0,3,2,2,2
