bc_id,output,distance
1,acc,1.0
2,acc,1.0
3,acc,1.0
4,acc,1.0
5,acc,1.0
6,acc,1.0
7,acc,1.0
8,acc,1.0
9,acc,1.0
10,acc,1.0
11,acc,1.0
12,acc,1.0
13,acc,1.0
1,unacc,1.0
2,unacc,1.0
3,unacc,1.0
4,unacc,1.0
5,unacc,1.0
6,unacc,1.0
7,unacc,1.0
8,unacc,1.0
9,unacc,1.0
10,unacc,1.0
11,unacc,1.0
12,unacc,1.0
13,unacc,1.0
14,acc,1.0
15,acc,1.0
14,vgood,1.0
15,vgood,1.0
16,acc,1.0
16,good,1.0
17,unacc,1.0
18,unacc,1.0
17,vgood,1.4142135623730951
18,vgood,1.0
19,good,1.0
20,good,1.0
19,vgood,1.4142135623730951
20,vgood,1.0
