bc_id,output,distance,buyingprice,maintenancecost,doors,capacity,luggageboot,safety
1,unacc,1.0,0,0,0,1,2,2
2,unacc,1.0,1,0,3,1,2,2
3,unacc,1.0,0,1,0,2,0,2
1,vgood,1.0,0,0,0,2,2,2
2,vgood,1.0,1,0,3,2,2,2
3,vgood,2.0,0,2,0,2,0,2
4,acc,1.0,1,0,2,2,2,1
5,acc,1.0,2,0,3,3,2,2
6,acc,1.0,0,2,2,3,2,1
7,acc,1.0,0,3,2,3,2,2
8,acc,1.0,1,2,1,3,2,2
9,acc,1.0,0,3,2,3,1,2
4,vgood,1.0,1,0,2,2,2,2
5,vgood,1.0,1,0,3,3,2,2
6,vgood,1.0,0,2,2,3,2,2
7,vgood,1.0,0,2,2,3,2,2
8,vgood,1.0,0,2,1,3,2,2
9,vgood,1.0,0,2,2,3,1,2
10,acc,1.0,1,2,3,2,0,2
11,acc,1.0,1,3,3,3,2,2
12,acc,1.0,2,2,0,3,1,2
13,acc,1.0,2,1,2,2,2,2
14,acc,1.0,0,1,1,3,0,1
10,unacc,1.0,1,2,3,1,0,2
11,unacc,1.0,2,3,3,3,2,2
12,unacc,1.0,3,2,0,3,1,2
13,unacc,1.0,2,1,2,1,2,2
14,unacc,1.0,0,1,1,3,0,0
15,acc,1.0,1,1,0,3,1,1
16,acc,1.0,0,1,1,3,0,1
15,good,1.0,0,1,0,3,1,1
16,good,1.0,0,1,1,3,0,2
17,good,1.0,1,0,3,2,0,2
18,good,1.0,1,1,3,3,0,2
19,good,1.0,0,0,3,3,2,1
17,vgood,1.0,1,0,3,2,1,2
18,vgood,1.0,1,1,3,3,1,2
19,vgood,1.0,0,0,3,3,2,2
20,good,1.0,0,0,2,2,1,1
20,unacc,1.0,0,0,2,1,1,1
