bc_id,output,distance,Pclass,Age,Sex,Fare,Parch,SibSp
1,0,11.692570360703414,2,77,0.0,44.64,0,0
2,0,55.26726858313156,2,78,0.0,259.16,0,1
3,0,253.8982284302118,2,12,0.0,511.48,0,0
4,0,64.85386699835254,3,2,1.0,308.48,1,1
5,0,150.00216531770468,2,14,0.0,404.36,0,0
6,0,40.4900887982479,2,77,0.0,140.08,0,0
7,0,23.26061908032544,3,3,1.0,91.08,2,1
8,0,14.69405545246104,1,1,0.0,1.38,0,0
9,0,218.1373331183821,2,79,0.0,472.69,0,0
10,0,45.474301533943304,3,7,1.0,196.66,0,1
1,1,22.902829519515706,1,77,0.0,44.64,0,0
2,1,47.95212221581023,1,78,0.0,259.17,0,1
3,1,23.03738571626564,1,12,0.0,511.48,0,0
4,1,49.93667014329251,3,2,0.0,308.48,1,1
5,1,110.00685266218645,1,14,0.0,404.35,0,0
6,1,23.288603570201463,1,77,0.0,140.07,0,0
7,1,14.14130121311331,3,3,0.0,91.08,2,1
8,1,9.956247329692046,2,1,0.0,1.38,0,0
9,1,59.22217639229414,1,79,0.0,472.69,0,0
10,1,26.559913521131808,3,7,0.0,196.66,0,1
