bc_id,output,distance
1,0,61.642001914279206
2,0,86.9912080192016
3,0,21.60563636854975
4,0,8.542834716884087
5,0,34.79769447305382
6,0,253.157776100202
7,0,13.980304002417116
8,0,50.42407758204407
9,0,14.01114758469127
10,0,205.22680161226506
11,0,100.71645148633861
12,0,18.28630407272067
13,0,141.57119233798946
14,0,205.17039650007993
15,0,161.29479222839157
16,0,28.21821750022492
17,0,50.21212204876428
18,0,256.87545620397447
19,0,31.389354883463273
20,0,11.923774832241676
1,1,57.573747489632815
2,1,71.72279972226407
3,1,7.422674720072274
4,1,14.944594340429587
5,1,22.756977501417015
6,1,41.07428573499483
7,1,9.561636889152402
8,1,33.9824882292336
9,1,20.322207065178723
10,1,51.38196851659152
11,1,98.99395739134788
12,1,11.177666348572046
13,1,120.11219735164286
14,1,63.15281495420453
15,1,108.1870331076696
16,1,27.960488419196118
17,1,35.55411403761877
18,1,34.089710656442946
19,1,27.099982710142083
20,1,10.697536113049585
