bc_id,output,distance,Pclass,Age,Sex,Fare,Parch,SibSp
1,0,8.819874922015618,1,1,0.0,12.64,0,0
2,0,6.367291417863643,2,56,0.0,37.18,0,1
3,0,16.668525216407122,1,33,0.0,106.21,1,1
4,0,1.7495427974188007,2,26,0.0,27.03,0,0
5,0,4.814987019712508,1,18,0.0,78.21,0,0
6,0,5.321715948827032,3,10,0.0,6.08,0,0
7,0,3.8935844667863573,3,10,0.0,28.3,0,0
8,0,19.68735888838317,3,9,0.0,162.44,0,3
9,0,38.08708028505201,3,7,1.0,281.53,1,0
10,0,8.645058972615514,3,10,0.0,0.32,0,0
1,1,2.359766937644478,2,1,0.0,12.64,0,0
2,1,7.849993630570665,1,56,0.0,37.18,0,1
3,1,7.41041328132245,1,33,1.0,106.21,1,1
4,1,2.249644416346726,1,26,0.0,27.03,0,0
5,1,4.130781147676551,1,17,0.0,78.21,0,0
6,1,6.0618875682414295,3,9,0.0,6.07,0,0
7,1,3.7686204372422547,3,9,0.0,28.3,0,0
8,1,17.221849494174535,3,9,0.0,162.44,0,2
9,1,23.93562251122788,3,7,0.0,281.53,1,0
10,1,9.209626756823535,3,9,0.0,0.31,0,0
