bc_id,output,distance
1,1,70.54335897289056
2,1,32.00753054236099
3,1,27.13789452230181
4,1,50.683976840287094
5,1,62.14125508247358
6,1,164.27870753961446
7,1,28.801181247073252
8,1,380.57760196515176
1,2,645.7054235703371
2,2,236.09088942591202
3,2,166.23622370876421
4,2,381.6809000378336
5,2,78.41992174306016
6,2,17.46562214151185
7,2,329.07914794668034
8,2,52.9806917931627
9,1,53.026038589468406
10,1,36.06223408558756
11,1,54.44529866177509
12,1,92.74098197001715
9,3,56.702086795086856
10,3,624.991629164103
11,3,519.6327603340426
12,3,43.14753780734364
13,2,17.279262897085587
14,2,741.4370895957029
15,2,22.82722202656078
16,2,65.54305571923607
17,2,46.25638844600264
18,2,21.17076714816992
19,2,71.57826854028207
20,2,80.51495477484914
13,3,31.97551996129823
14,3,821.9039866761661
15,3,19.472865374307972
16,3,54.446335480818156
17,3,57.17744434563674
18,3,132.96411918449948
19,3,43.00618802043646
20,3,113.55469001342772
