bc_id,output,distance
1,1,12.788282176451318
2,1,15.55891282319363
3,1,28.411260411561223
4,1,21.938324871541806
5,1,356.88896793505654
6,1,452.84235546253353
1,2,51.79254642849815
2,2,54.402551731604326
3,2,67.63416902171396
4,2,51.432490588474195
5,2,23.67233105127536
6,2,9.005957359324277
7,1,13.917835658586695
8,1,20.5007067415289
9,1,23.760041133303787
7,3,188.02636593230912
8,3,35.99575582306211
9,3,34.162335058554106
10,2,9.835283592038461
11,2,17.150961180238024
12,2,13.652256546944727
13,2,321.30461417061156
14,2,203.19737799792335
15,2,12.87495838358103
16,2,52.72364208621447
17,2,17.736259399158318
18,2,19.51484609558244
19,2,12.392554596669711
20,2,36.610924173733444
10,3,29.634633124819597
11,3,17.66802336442563
12,3,16.886374681569375
13,3,400.6589709527547
14,3,275.20706146057086
15,3,17.08053191610021
16,3,7.944167138513869
17,3,8.578207283340529
18,3,18.53167439623144
19,3,12.036624921535964
20,3,86.23159419006652
