buyingprice,maintenancecost,doors,capacity,luggageboot,safety,decision,n_buyingprice,n_maintenancecost,n_doors,n_capacity,n_luggageboot,n_safety,n_decision
3,1,0,2,2,1,acc,3,1,0,2,2,0,unacc
2,1,1,2,2,2,acc,1,1,1,2,2,2,vgood
1,3,2,3,2,1,acc,1,3,2,3,2,0,unacc
0,0,0,1,1,2,unacc,0,0,0,2,1,2,vgood
1,0,1,2,0,1,acc,1,0,1,2,0,0,unacc
1,3,1,3,0,2,acc,2,3,1,3,0,2,unacc
3,1,3,2,0,2,acc,3,2,3,2,0,2,unacc
2,0,3,3,0,2,acc,1,0,3,3,0,2,good
3,0,0,2,0,2,acc,3,0,0,2,0,1,unacc
1,0,0,3,2,1,acc,1,0,0,3,2,0,unacc
0,1,1,2,0,2,good,0,2,1,2,0,2,vgood
0,1,3,3,0,1,acc,0,1,3,3,0,0,unacc
0,2,3,1,2,2,unacc,0,2,3,2,2,2,vgood
3,0,3,3,2,1,acc,3,0,3,3,2,0,unacc
2,2,3,3,2,2,acc,3,2,3,3,2,2,unacc
0,0,3,3,2,1,good,0,0,3,3,2,2,vgood
0,3,3,3,0,2,acc,0,3,3,3,0,1,unacc
0,3,0,2,1,1,acc,0,3,0,1,1,1,unacc
2,2,0,3,2,2,acc,3,2,0,3,2,2,unacc
0,3,0,3,2,2,acc,0,2,0,3,2,2,vgood
