Pclass,Sex,Age,SibSp,Parch,Fare,Survived,n_Pclass,n_Sex,n_Age,n_SibSp,n_Parch,n_Fare,n_Survived
2,0.0,70,0,0,297.42,0,2,1.0,70,0,0,297.42,1
3,1.0,6,0,1,332.6,0,2,1.0,6,0,1,332.6,1
3,1.0,7,1,1,120.31,0,3,0.0,7,1,1,120.31,1
3,0.0,72,1,0,-0.47,0,3,1.0,72,1,0,-0.47,1
3,1.0,2,0,0,274.37,0,3,0.0,2,0,0,274.37,1
1,-0.0,75,0,0,509.86,0,1,-0.0,76,0,0,509.86,1
3,1.0,8,1,0,60.07,0,2,1.0,8,1,0,60.07,1
1,0.0,70,0,0,185.24,0,1,1.0,70,0,0,185.24,1
2,0.0,78,3,1,66.14,0,1,0.0,78,3,1,66.14,1
2,0.0,55,0,0,465.01,0,2,1.0,55,0,0,465.01,1
1,0.0,64,5,0,353.06,0,1,1.0,64,5,0,353.06,1
1,0.0,27,0,0,229.51,0,1,1.0,27,0,0,229.51,1
2,0.0,12,5,0,394.55,0,1,0.0,12,5,0,394.55,1
3,1.0,2,0,1,458.54,0,3,0.0,2,0,1,458.54,1
2,0.0,78,3,0,413.1,0,1,0.0,78,3,0,413.1,1
3,1.0,74,2,0,123.7,0,2,1.0,74,2,0,123.7,1
1,0.0,74,0,0,243.02,0,1,1.0,74,0,0,243.02,1
3,1.0,1,0,1,512.0,0,3,0.0,1,0,1,512.0,1
3,1.0,7,0,0,177.09,0,3,0.0,7,0,0,177.09,1
1,0.0,6,0,0,-0.5,0,2,0.0,6,0,0,-0.5,1
