Pclass,Sex,Age,SibSp,Parch,Fare,Survived,n_Pclass,n_Sex,n_Age,n_SibSp,n_Parch,n_Fare,n_Survived
2,0.0,16,0,0,26.58,0,1,0.0,16,0,0,26.58,1
2,0.0,12,1,0,72.53,0,2,1.0,12,1,0,72.53,1
3,1.0,27,3,0,42.33,0,2,1.0,27,3,0,42.33,1
3,0.0,10,0,0,2.4,0,3,0.0,9,0,0,2.41,1
1,0.0,46,0,0,42.38,0,1,1.0,46,0,0,42.38,1
2,0.0,34,2,0,201.78,0,2,1.0,34,2,0,201.78,1
3,0.0,14,0,0,17.88,0,3,1.0,14,0,0,17.88,1
3,0.0,23,0,4,4.14,0,3,1.0,23,0,4,4.14,1
1,0.0,55,1,0,151.4,0,1,1.0,55,1,0,151.4,1
3,1.0,3,0,1,215.16,0,3,0.0,3,0,1,215.17,1
1,0.0,11,2,0,2.14,0,1,1.0,11,2,0,2.14,1
2,0.0,11,0,0,349.35,0,1,0.0,11,0,0,349.36,1
1,0.0,39,0,0,20.12,0,1,1.0,39,0,0,20.12,1
1,0.0,5,1,3,1.68,0,2,0.0,5,1,3,1.68,1
3,1.0,15,3,0,139.14,0,2,1.0,15,3,0,139.14,1
3,1.0,9,0,0,132.06,0,2,1.0,9,0,0,132.07,1
3,0.0,27,0,2,20.63,0,3,1.0,27,0,2,20.64,1
2,0.0,78,0,3,10.22,0,2,1.0,78,0,3,10.22,1
3,0.0,12,0,2,10.64,0,3,1.0,12,0,2,10.64,1
1,0.0,58,0,1,126.78,0,1,1.0,58,0,1,126.78,1
