x,y,class,n_x,n_y,n_class
-3.307862990118461,-12.02044553554369,false,-3.3317518597801628,-12.01324329188564,true
-3.3255670038038154,-12.019408913166183,false,-3.337012317444978,-12.002384421902294,true
-3.325164545278758,-12.018969766645005,false,-3.3456171834372492,-12.020609263268916,true
-3.3224535753768567,-12.017139481711553,false,-3.334374529046049,-12.020612325238407,true
-3.3282848787381254,-11.992684848219685,false,-3.329909886822905,-11.969864818999717,true
-3.325986443985324,-11.978219895612083,false,-3.34731836717327,-11.99356926552533,true
-3.3217744043959025,-11.977922514773073,false,-3.334892074849169,-11.988643365072486,true
-3.3218248687413503,-11.9752759228149,false,-3.3455514746940564,-11.984781273410524,true
-3.316520157237563,-11.95814633584766,false,-3.3386734947233148,-11.953619656027296,true
-3.3151277027320343,-11.952286294000666,false,-3.332837765083497,-11.963392789190705,true
-3.312950210031889,-11.933859403778579,false,-3.33113076143372,-11.93235538221483,true
-3.328786468715545,-11.928156687602776,false,-3.3508429005836704,-11.912486318407367,true
-3.3245104287814247,-11.896526791117191,false,-3.3468075990990944,-11.89327368339377,true
-3.319951409817558,-11.894106808571832,false,-3.3424724265927575,-11.89490059194316,true
-3.327547091083213,-11.850196329252688,false,-3.3388462058780637,-11.866149975409186,true
-3.3248948440972286,-11.843303690306254,false,-3.3422459393938584,-11.836823649241943,true
-3.3164457411475374,-11.838943718787462,false,-3.335024248360367,-11.848234264055106,true
-3.315035835761903,-11.80005069100926,false,-3.337881368697766,-11.81933098346323,true
-3.3244662654189465,-11.792638466268732,false,-3.3436462962483855,-11.802877151983147,true
-3.320637676779817,-11.78782306441013,false,-3.33509022570195,-11.79082161482285,true
-3.3232725468702866,-11.784475370758818,false,-3.3345965818216166,-11.79586954480856,true
-3.3282793813251312,-11.764332657059493,false,-3.3341163789516908,-11.755477321512057,true
-3.3114824378178693,-11.725889800467842,false,-3.3329183791428707,-11.719037425494271,true
-3.326479404238365,-11.714433964906071,false,-3.3431234751852354,-11.709601382745323,true
-3.315288148089558,-11.708359020622254,false,-3.332183022747752,-11.720298792734054,true
-3.326922938411611,-11.656208144424406,false,-3.3406049983132964,-11.6399517072199,true
-3.3277684382841803,-11.64714257474913,false,-3.3428263198093178,-11.644977317885992,true
-3.3203273181791007,-11.642874700283594,false,-3.338428723563603,-11.662619923189128,true
-3.3243212922324084,-11.583376638194217,false,-3.33503716229034,-11.585266169877196,true
-3.307587573868429,-11.508264341319078,false,-3.3295966820225464,-11.51183532317758,true
-3.3292301501417523,-11.42088434857435,false,-3.3429642374643804,-11.421895598967124,true
-3.3234902559101194,-11.414390478097621,false,-3.3445923584914055,-11.400796881174406,true
-3.322023108824633,-11.413125976879465,false,-3.3429172408269676,-11.40791921106665,true
-3.3269186436439826,-11.39806284331218,false,-3.3443568857222,-11.417700336997346,true
